@relation all_data_pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-L5

@attribute 'Legal action North' {False,True}
@attribute 'Legal action South' {False,True}
@attribute 'Legal action East' {False,True}
@attribute 'Legal action West' {False,True}
@attribute 'North ghost 1' numeric
@attribute 'South ghost 1' numeric
@attribute 'East ghost 1' numeric
@attribute 'West ghost 1' numeric
@attribute 'North ghost 2' numeric
@attribute 'South ghost 2' numeric
@attribute 'East ghost 2' numeric
@attribute 'West ghost 2' numeric
@attribute 'North ghost 3' numeric
@attribute 'South ghost 3' numeric
@attribute 'East ghost 3' numeric
@attribute 'West ghost 3' numeric
@attribute 'North ghost 4' numeric
@attribute 'South ghost 4' numeric
@attribute 'East ghost 4' numeric
@attribute 'West ghost 4' numeric
@attribute 'Pacman direction' {North,South,East,West,Stop}
@attribute 'Current score' numeric
@attribute 'Future score' numeric

@data
True,False,False,True,17,?,?,19,8,?,?,6,4,?,?,2,9,?,?,11,South,-9,-10
True,False,True,True,19,?,19,21,8,?,8,6,2,?,2,0,11,?,11,13,West,-10,189
True,True,True,True,19,21,19,21,6,4,6,4,?,?,?,?,11,13,11,13,West,189,188
True,True,False,True,20,22,?,22,4,2,?,2,?,?,?,?,13,15,?,15,South,188,187
True,False,True,True,20,?,22,22,3,?,3,1,?,?,?,?,13,?,15,15,South,187,186
True,True,True,True,22,24,22,24,3,3,3,1,?,?,?,?,13,15,13,15,West,186,185
True,True,True,True,24,26,24,26,1,3,3,1,?,?,?,?,15,17,15,17,West,185,184
True,True,True,True,22,24,22,24,3,3,3,1,?,?,?,?,13,15,13,15,North,184,183
True,True,True,True,22,24,22,24,3,1,3,1,?,?,?,?,15,17,15,17,West,183,182
True,True,True,True,22,24,22,24,3,1,3,1,?,?,?,?,17,19,17,19,South,182,381
True,False,True,True,22,?,22,24,?,?,?,?,?,?,?,?,18,?,18,20,South,381,380
True,True,True,True,20,22,20,22,?,?,?,?,?,?,?,?,16,18,16,18,North,380,379
True,True,True,True,20,22,20,22,?,?,?,?,?,?,?,?,15,17,15,17,North,379,378
False,True,True,True,?,20,18,20,?,?,?,?,?,?,?,?,?,15,13,15,North,378,377
False,True,True,True,?,19,17,19,?,?,?,?,?,?,?,?,?,15,13,15,East,377,376
True,True,True,True,15,17,15,17,?,?,?,?,?,?,?,?,13,15,13,15,East,376,375
True,True,True,False,15,17,15,?,?,?,?,?,?,?,?,?,11,13,11,?,North,375,374
True,True,True,True,15,17,15,17,?,?,?,?,?,?,?,?,12,12,10,12,North,374,373
True,True,True,True,14,16,14,16,?,?,?,?,?,?,?,?,10,10,8,10,East,373,372
