@relation distance_raw_data-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C13-L5

@attribute 'Legal action North' {False,True}
@attribute 'Legal action South' {False,True}
@attribute 'Legal action East' {False,True}
@attribute 'Legal action West' {False,True}
@attribute 'North ghost' numeric
@attribute 'South ghost' numeric
@attribute 'East ghost' numeric
@attribute 'West ghost' numeric
@attribute 'North dot' numeric
@attribute 'South dot' numeric
@attribute 'East dot' numeric
@attribute 'West dot' numeric
@attribute 'Pacman direction' {North,South,East,West,Stop}
@attribute 'Current score' numeric
@attribute 'Future score' numeric

@data
False,True,True,True,?,1,1,1,?,19,17,19,North,169,168
False,True,True,True,?,2,2,0,?,19,17,19,East,168,167
False,False,True,True,?,?,3,1,?,?,17,19,East,167,166
False,False,True,True,?,?,4,2,?,?,16,18,East,166,165
False,False,True,True,?,?,5,3,?,?,14,16,East,165,164
False,False,True,True,?,?,6,4,?,?,14,16,East,164,163
False,True,True,True,?,7,7,5,?,14,14,16,East,163,162
False,True,True,True,?,8,8,6,?,14,14,16,East,162,161
False,True,True,True,?,6,6,8,?,13,13,15,East,161,160
True,True,True,True,7,5,5,7,14,12,14,14,South,160,159
True,True,True,True,6,4,4,6,13,11,11,13,South,159,158
True,True,True,True,5,3,3,5,11,9,9,11,South,158,157
True,True,True,False,4,2,2,?,11,9,9,?,South,157,156
True,True,True,True,3,3,1,3,11,11,11,9,South,156,155
False,True,True,True,?,4,2,4,?,9,9,7,West,155,154
False,True,True,True,?,5,3,5,?,7,7,5,West,154,153
False,True,True,True,?,6,4,6,?,7,7,5,West,153,152
False,True,True,True,?,7,5,7,?,7,7,5,West,152,151
False,True,True,True,?,5,7,7,?,7,7,5,West,151,150
False,True,True,True,?,6,6,8,?,6,6,4,West,150,149
True,True,True,True,9,7,7,9,2,4,4,2,West,149,148
True,True,False,True,10,8,?,10,4,2,?,2,North,148,147
False,True,False,True,?,9,?,11,?,4,?,4,North,147,246
False,True,True,True,?,11,11,13,?,3,5,3,West,246,245
False,True,True,False,?,12,12,?,?,3,3,?,West,245,244
True,True,True,False,13,11,11,?,4,2,2,?,South,244,243
True,True,True,False,12,12,10,?,4,2,2,?,South,243,242
True,True,True,True,11,11,9,11,3,1,1,3,East,242,241
True,True,True,True,10,10,8,10,3,1,1,3,East,241,240
False,True,True,True,?,9,7,9,?,0,2,2,East,240,439
True,False,True,True,8,?,8,10,9,?,7,9,South,439,438
True,False,True,True,8,?,8,10,9,?,7,9,South,438,437
True,True,True,True,7,9,7,9,9,7,9,9,East,437,436
True,True,True,True,6,8,6,8,8,8,6,8,East,436,435
True,True,True,True,7,9,7,9,8,6,8,6,South,435,434
True,True,True,True,8,10,8,10,6,4,6,4,South,434,433
True,True,False,True,9,11,?,11,4,4,?,2,South,433,432
True,False,True,True,10,?,12,12,4,?,6,4,South,432,431
False,False,True,True,?,?,13,11,?,?,6,4,East,431,530
False,False,False,True,?,?,?,23,?,?,?,6,East,530,529
False,False,True,True,?,?,24,22,?,?,6,4,West,529,528
True,False,True,True,21,?,23,23,6,?,6,4,West,528,527
True,True,True,True,22,24,22,24,5,3,5,3,West,527,526
True,True,True,True,23,25,23,25,3,1,3,1,West,526,525
True,True,True,True,24,26,24,26,3,1,1,3,West,525,524
True,True,True,True,25,27,25,27,4,2,2,4,West,524,523
True,False,True,True,26,?,26,28,2,?,0,2,South,523,722
True,False,True,True,25,?,25,27,16,?,16,18,East,722,721
True,False,True,True,24,?,24,26,16,?,16,18,East,721,720
True,True,True,True,23,25,23,25,14,16,14,16,North,720,719
True,True,True,True,22,24,22,24,12,14,12,14,North,719,718
True,True,True,True,21,23,21,23,12,14,12,14,East,718,717
True,True,False,True,20,22,?,22,11,13,?,13,East,717,716
True,True,True,True,19,21,19,21,11,13,11,13,North,716,715
True,True,True,True,18,20,18,20,11,13,11,13,North,715,714
True,True,True,True,17,19,17,19,9,11,9,11,East,714,713
True,True,True,True,16,18,16,18,9,9,7,9,North,713,712
True,True,True,True,15,17,15,17,7,7,5,7,East,712,711
True,False,True,True,14,?,14,16,6,?,4,6,East,711,710
True,True,True,True,13,15,15,15,6,4,4,6,East,710,709
True,True,True,False,14,16,16,?,6,4,4,?,South,709,708
True,True,True,False,15,17,17,?,5,3,3,?,South,708,707
True,True,True,False,16,18,18,?,3,1,1,?,South,707,706
True,True,True,True,17,19,19,17,3,1,1,3,East,706,705
True,True,True,True,18,20,20,18,2,2,0,2,South,705,704
True,True,True,True,6,4,4,6,8,6,8,8,East,-3,-4
True,True,True,True,5,3,3,5,10,8,10,8,East,-4,-5
True,True,True,True,4,2,2,4,8,6,8,6,South,-5,-6
True,True,True,True,3,1,1,3,8,6,8,6,South,-6,-7
True,True,True,True,2,2,0,2,7,5,7,5,South,-7,-8
True,True,False,True,1,3,?,3,6,4,?,6,South,-8,-9
True,True,True,True,2,4,4,4,4,2,4,4,South,-9,-10
True,True,True,True,3,5,5,5,2,0,2,2,South,-10,189
True,True,True,True,4,6,6,6,6,8,8,6,South,189,188
True,True,True,True,5,7,7,7,8,10,10,8,South,188,187
True,True,True,True,4,6,6,6,8,10,10,8,North,187,186
True,True,True,True,3,5,5,5,8,10,10,8,North,186,185
True,True,True,True,2,4,4,4,8,10,10,8,North,185,184
True,True,True,False,3,5,3,?,8,10,10,?,West,184,183
True,True,True,False,3,5,3,?,9,11,11,?,West,183,182
True,True,True,True,2,4,2,4,9,9,9,7,North,182,181
True,False,True,True,3,?,3,5,9,?,9,7,West,181,180
True,True,True,True,4,6,4,6,7,5,7,5,West,180,179
True,True,False,True,5,7,?,7,5,3,?,3,South,179,178
True,False,False,True,7,?,?,5,5,?,?,3,South,178,177
True,False,True,True,6,?,6,4,5,?,5,3,West,177,176
True,True,True,True,5,3,5,3,3,1,3,3,West,176,375
True,True,False,True,4,2,?,2,3,1,?,3,South,375,574
True,False,True,True,3,?,3,1,22,?,24,24,South,574,573
False,False,True,True,?,?,4,2,?,?,25,23,East,573,672
False,False,False,True,?,?,?,3,?,?,?,23,East,672,671
False,False,True,True,?,?,4,2,?,?,23,21,West,671,670
True,False,True,True,3,?,3,1,21,?,23,23,West,670,669
True,True,False,True,4,2,?,2,19,21,?,21,North,669,668
True,True,True,True,5,3,5,3,19,21,19,21,North,668,667
True,True,True,True,6,4,6,4,19,21,19,21,North,667,666
True,True,True,True,7,5,7,5,18,20,18,20,North,666,665
False,True,True,True,?,6,8,6,?,19,17,19,North,665,664
False,True,True,True,?,5,7,7,?,20,18,20,West,664,663
False,True,True,True,?,6,6,8,?,21,19,21,West,663,662
True,True,True,True,9,7,7,9,21,21,19,21,West,662,661
True,True,False,True,10,8,?,10,23,21,?,23,North,661,660
True,True,True,True,11,9,9,11,23,21,21,23,West,660,659
True,True,True,False,12,10,10,?,25,23,23,?,West,659,658
False,True,True,False,?,11,11,?,?,23,23,?,North,658,657
False,True,True,False,?,11,11,?,?,24,24,?,North,657,756
False,True,True,True,?,22,22,24,?,22,22,24,East,756,755
True,True,True,True,23,21,21,23,24,22,22,24,South,755,754
True,True,True,True,22,22,20,22,24,24,22,24,South,754,753
True,True,True,True,21,21,19,21,22,22,20,22,East,753,752
False,True,True,True,?,20,18,20,?,22,20,22,East,752,751
True,False,True,True,19,?,19,21,21,?,21,23,South,751,750
True,True,True,True,18,20,18,20,19,21,19,21,East,750,749
True,True,True,True,17,19,17,19,18,20,18,20,East,749,748
True,True,True,True,16,18,16,18,18,20,18,20,East,748,747
False,True,True,True,?,17,15,17,?,19,17,19,North,747,746
False,True,True,True,?,16,14,16,?,17,15,17,East,746,745
False,True,True,True,?,15,13,15,?,15,13,15,East,745,744
True,True,True,True,12,14,14,14,12,14,14,14,East,744,743
True,True,True,True,13,15,15,13,14,16,16,14,East,743,742
True,True,True,True,12,14,14,12,13,15,15,13,North,742,741
True,True,True,True,13,15,15,13,13,15,15,13,East,741,740
True,True,True,True,14,16,16,14,15,17,17,15,East,740,739
True,True,False,True,15,17,?,15,16,18,?,16,East,739,738
True,True,False,True,14,16,?,14,15,17,?,15,North,738,737
True,True,False,True,13,15,?,13,14,16,?,14,North,737,736
True,True,False,True,12,14,?,12,13,15,?,13,North,736,735
False,True,False,True,?,13,?,11,?,15,?,13,North,735,834
False,True,True,True,?,?,?,?,?,14,14,12,West,834,833
False,True,True,True,?,?,?,?,?,13,13,11,West,833,832
False,True,True,True,?,?,?,?,?,11,11,9,West,832,831
False,True,True,True,?,?,?,?,?,9,9,7,West,831,830
False,True,True,True,?,?,?,?,?,8,8,6,West,830,829
False,True,True,True,?,?,?,?,?,6,6,4,West,829,828
False,False,True,True,?,?,?,?,?,?,5,3,West,828,827
False,False,True,True,?,?,?,?,?,?,4,2,West,827,826
True,False,True,True,6,?,4,6,9,?,7,9,South,-3,-4
True,True,True,True,5,3,3,5,8,6,8,8,East,-4,-5
True,True,True,True,4,2,2,4,10,8,10,8,East,-5,-6
True,True,True,True,3,1,3,3,11,9,11,9,East,-6,-7
True,True,True,True,2,0,2,2,10,8,10,8,South,-7,-8
True,False,True,True,1,?,1,1,9,?,9,7,South,-8,-9
True,True,True,True,2,2,0,2,9,7,9,9,West,-9,-10
True,True,True,True,3,3,1,3,9,9,9,7,West,-10,-11
False,True,True,True,?,4,2,4,?,7,7,5,West,-11,-12
False,True,True,True,?,5,3,5,?,5,5,3,West,-12,-13
True,True,True,True,4,6,4,6,4,6,6,4,South,-13,-14
True,True,False,True,5,7,?,7,4,6,?,4,South,-14,-15
True,True,True,True,7,5,7,5,3,5,5,3,West,-15,-16
True,True,True,True,6,4,6,4,1,3,3,3,West,-16,183
True,True,True,True,7,5,7,5,9,7,9,7,North,183,182
True,True,True,True,6,4,6,6,7,5,7,7,West,182,181
True,False,True,True,7,?,5,7,9,?,7,9,West,181,180
True,False,True,True,8,?,6,8,10,?,8,10,West,180,179
True,True,True,True,9,7,7,9,12,10,10,12,North,179,178
True,True,False,True,10,8,?,10,13,11,?,13,North,178,177
True,True,True,True,11,9,9,11,13,11,11,13,West,177,276
False,True,True,True,?,11,11,13,?,12,12,14,North,276,275
False,True,True,True,?,11,11,13,?,12,12,14,North,275,274
True,True,True,True,12,10,10,12,14,12,12,14,South,274,273
True,True,True,True,11,11,9,11,13,11,11,13,South,273,272
True,True,True,True,10,10,8,10,11,9,9,11,East,272,271
False,True,True,True,?,9,7,9,?,7,7,9,East,271,270
True,False,True,True,8,?,8,10,8,?,6,8,South,270,269
True,False,True,True,8,?,8,10,7,?,5,7,South,269,268
True,True,True,True,7,9,7,9,7,5,7,7,East,268,267
True,True,True,True,6,8,6,8,8,6,8,6,East,267,266
True,True,True,True,7,9,7,9,7,5,7,5,South,266,265
True,True,True,True,8,10,8,10,6,4,6,4,South,265,264
True,True,False,True,9,11,?,11,4,6,?,4,South,264,263
True,False,True,True,10,?,12,12,5,?,7,5,South,263,262
False,False,True,True,?,?,13,11,?,?,9,7,East,262,361
False,False,False,True,?,?,?,23,?,?,?,7,East,361,360
False,False,True,True,?,?,24,22,?,?,7,5,West,360,359
True,False,True,True,21,?,23,23,5,?,7,5,West,359,358
True,True,True,True,22,24,22,24,5,7,7,5,West,358,357
True,True,True,True,23,25,23,25,3,5,5,3,West,357,356
True,True,True,True,24,26,24,26,2,4,4,2,West,356,355
True,True,True,True,23,25,23,25,2,4,4,2,North,355,354
False,True,True,True,?,24,22,24,?,2,2,0,North,354,553
False,True,True,True,?,25,23,25,?,18,16,18,West,553,552
False,True,True,False,?,26,24,?,?,18,16,?,West,552,551
False,True,True,True,?,25,23,25,?,17,15,17,East,551,550
False,True,True,True,?,24,22,24,?,15,13,15,East,550,549
False,True,True,True,?,23,21,23,?,14,12,14,East,549,548
True,True,True,True,20,22,20,22,12,14,12,14,East,548,547
True,True,True,False,19,21,19,?,10,12,10,?,North,547,546
True,True,True,True,18,20,18,20,8,10,8,10,North,546,545
True,True,True,True,17,19,17,19,8,10,8,10,East,545,544
True,True,True,True,16,18,16,18,7,9,7,9,East,544,543
True,True,True,True,15,17,15,17,7,9,7,9,East,543,542
False,True,True,True,?,16,14,16,?,7,5,7,North,542,541
False,True,True,True,?,15,13,15,?,7,5,7,East,541,540
True,True,True,True,12,14,14,14,3,5,5,5,East,540,539
True,True,True,True,13,15,15,13,4,6,6,4,East,539,538
True,True,True,True,12,14,14,12,2,4,4,2,North,538,537
True,True,True,False,11,13,13,?,1,3,3,?,West,537,536
